majority,secondMajor,number,name,type,className,professorName,time,credit,maxCount,dayOfTheWeek/startTime/endTime/classroom,semester,year,grade
전선-소프트,,5006762801,(공통)물리1및실험,,,최현희,4,3,26,"화 11:00-11:50 (숭덕경상관 02317)
화 12:00-12:50 (숭덕경상관 02317)
화 13:00-13:50 (조만식기념관 12123)
화 14:00-14:50 (조만식기념관 12123)",2학기,2025,전체
전선-소프트,,5006762802,(공통)물리1및실험,,,"이동렬
",4,3,26,"화 11:00-11:50 (숭덕경상관 02317)
화 12:00-12:50 (숭덕경상관 02317)
화 13:00-13:50 (조만식기념관 12124)
화 14:00-14:50 (조만식기념관 12124)",2학기,2025,전체
전선-소프트,복선-소프트,2150691003,고급컴퓨터수학,,,최형광,3,3,50,"목 18:00-19:15 (정보과학관 21205 (실습실))
금 18:00-19:15 (정보과학관 21205 (실습실))",2학기,2025,전체
전선-소프트,복선-소프트,2150690803,데이터통신과네트워크,,,주경호,3,3,50,화 목 16:30-17:45 (정보과학관 21304),2학기,2025,전체
전선-소프트,복선-소프트,2150679503,생명정보과학,,,김두일,3,3,50,"월 18:00-19:15 (정보과학관 21501)
금 12:00-13:15 (정보과학관 21204 (김선행강의실))",2학기,2025,전체
전필-소프트,복필-소프트,2150690704,알고리즘,,,곽동규,3,3,50,"금 09:00-10:15 (정보과학관 21303)
금 10:30-11:45 (정보과학관 21303)",2학기,2025,전체
전선-소프트,복선-소프트,2150061301,오픈소스기반기초설계,,,김익수,3,3,50,"수 18:00-19:15 (정보과학관 21101 (실습실))
수 19:30-20:45 (정보과학관 21101 (실습실))",2학기,2025,전체
전선-소프트,복선-소프트,2150690904,윈도우프로그래밍및실습,,,권재환,4,3,40,"목 09:00-09:50 (정보과학관 21205 (실습실))
목 10:00-10:50 (정보과학관 21205 (실습실))
목 11:00-11:50 (정보과학관 21205 (실습실))
목 12:00-12:50 (정보과학관 21205 (실습실))",2학기,2025,전체
전기-소프트,복선-소프트,2150679403,이산수학,,,김형돈,4,3,50,"금 13:30-14:45 (정보과학관 21201)
금 15:00-16:15 (정보과학관 21201)",2학기,2025,전체
전기-소프트,복선-소프트,2150674201,프로그래밍기초및실습,,,최중섭,4,3,30,"화 14:00-14:50 (정보과학관 21205 (실습실))
화 15:00-15:50 (정보과학관 21205 (실습실))
수 17:00-17:50 (정보과학관 21205 (실습실))
수 18:00-18:50 (정보과학관 21205 (실습실))",2학기,2025,전체
